Customer_Age,Income,Total_Children,Family_Size,Total_Spending,Average_Spending_per_Purchase,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Total_Purchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Total_Campaign_Acceptance,Response,Digital_Engagement,NumWebVisitsMonth,Recency,Customer_Tenure_Years,Deal_Dependency,NumDealsPurchases
68,58138.0,0,1,1551.5,4.270015263146146,6.455198563340122,4.406719247264253,6.304448802421981,4.799914262780603,4.406719247264253,4.48863636973214,22,2.1972245773362196,2.3978952727983707,4,0.0,0.6931471805599453,15,7,58,1.82,0.1278333715098849,1.3862943611198906
71,46344.0,2,3,27.0,2.0476928433652555,2.4849066497880004,0.6931471805599453,1.9459101490553132,1.0986122886681098,0.6931471805599453,1.9459101490553132,4,0.6931471805599453,0.6931471805599453,2,0.0,0.0,6,5,38,0.31,0.4054651081081644,1.0986122886681098
60,71613.0,0,1,776.0,3.6838669122903918,6.056784013228625,3.912023005428146,4.852030263919617,4.718498871295094,3.091042453358316,3.7612001156935624,20,2.1972245773362196,1.0986122886681098,10,0.0,0.0,12,4,26,0.85,0.048790164169432,0.6931471805599453
41,26646.0,1,2,53.0,2.2857779746776643,2.4849066497880004,1.6094379124341003,3.044522437723423,2.3978952727983707,1.3862943611198906,1.791759469228055,6,1.0986122886681098,0.0,4,0.0,0.0,8,6,26,0.38,0.2876820724517809,1.0986122886681098
44,58293.0,1,2,422.0,3.438584913733776,5.159055299214529,3.784189633918261,4.77912349311153,3.8501476017100584,3.332204510175204,2.772588722239781,14,1.791759469228055,1.3862943611198906,6,0.0,0.0,10,5,94,0.44,0.30538164955118186,1.791759469228055
58,62513.0,1,2,716.0,3.6054978451748854,6.255750041753367,3.7612001156935624,4.59511985013459,0.0,3.7612001156935624,2.70805020110221,20,1.9459101490553132,1.6094379124341003,10,0.0,0.0,12,6,16,0.8,0.09531017980432487,1.0986122886681098
54,55635.0,1,2,590.0,3.575315447003282,5.4638318050256105,4.189654742026425,5.10594547390058,3.9318256327243257,3.912023005428146,3.332204510175204,17,2.0794415416798357,1.3862943611198906,7,0.0,0.0,13,6,34,1.62,0.2113090936672069,1.6094379124341003
40,33454.0,1,2,169.0,3.096708190893993,4.343805421853684,2.3978952727983707,4.04305126783455,1.3862943611198906,0.6931471805599453,3.1780538303479458,8,1.6094379124341003,0.0,4,0.0,0.0,12,8,32,1.14,0.22314355131420976,1.0986122886681098
51,30351.0,1,2,46.0,2.322387720290225,2.70805020110221,0.0,3.2188758248682006,1.3862943611198906,1.3862943611198906,1.0986122886681098,5,1.3862943611198906,0.0,2,0.0,0.6931471805599453,12,9,19,1.06,0.18232155679395465,0.6931471805599453
75,5648.0,2,3,49.0,3.912023005428146,3.367295829986474,0.0,1.9459101490553132,0.6931471805599453,0.6931471805599453,2.6390573296152584,1,0.6931471805599453,0.0,0,0.6931471805599453,0.0,21,20,68,0.3,0.6931471805599453,0.6931471805599453
